Brno - Brno Medlánky ; ul. Třešňová 1; separ. odpad,Třešňová 1; Brno-Medlánky 62100,Statutární město Brno,49°14'17.2N 16°34'12.0E
Brno - Brno-Řečkovice a Mokrá Hora; ul. Novoměstská 1477/3; separ. odpad,Novoměstská 3; Brno-Řečkovice a Mokrá Hora 62100,Statutární město Brno,49°14'34.2N 16°35'16.6E
Brno - Brno MČ Slatina; Zlínská ; před nákup. centrem Slatinka,Zlínská 1a; Brno-Slatina 62700,Statutární město Brno,49°10'43.2N 16°41'01.7E
Moravany; ul. Hlavní ; za obchodem,Hlavní 75; Moravany 66448,Obec Moravany,49°08'52.7N 16°34'07.3E
Moravany; ul. Novosady ; u MŠ,Novosady 26; Moravany 66448,Obec Moravany,49°08'47.3N 16°34'20.7E
Moravany; ul. Vnitřní ; u OÚ,Vnitřní 20; Moravany 66448,Obec Moravany,49°08'41.2N 16°34'39.7E
Brno- Brno Medlánky ; ul. K Babě ; křižovatka,K Babě 23; Brno-Medlánky 62100,Statutární město Brno,49°14'44.9N 16°34'11.4E
Brno-Bystrc - ul. Černého pod OC Letná Bystrc,Černého 2; Brno-Bystrc 63500,Statutární město Brno,49°13'04.0N 16°31'29.2E
Brno-Bystrc - Vondrákova; u Alberta,Vondrákova 13; Brno-Bystrc 63500,Statutární město Brno,49°13'18.8N 16°31'41.1E
Brno-Bystrc - nám. 28.dubna u OC Albert Bystrc,náměstí 28. dubna; Brno-Bystrc 63500,Statutární město Brno,49°13'36.2N 16°31'49.3E
Základní škola Brno; Laštůvkova Brno-Bystrc,Laštůvkova 77/920; Brno-Bystrc 63500,Základní škola Brno; Laštůvkova 77; příspěvková organizace,49°13'03.9N 16°31'24.6E
Brno-Bystrc - ul. Heyrovského před č. p. 2 Bystrc,Heyrovského 2/590; Brno-Bystrc 63500,Statutární město Brno,49°13'41.9N 16°31'46.7E
Brno-Bystrc - ul.Štouračova ; parkoviště velké Bystrc,Štouračova 8; Brno-Bystrc 63500,Statutární město Brno,49°12'57.2N 16°31'06.2E
Modřice - ul. Masarykova; před domovem pro seniory; u přístřešku na odpad,Masarykova 692; Modřice 66442,Město Modřice,49°08'03.4N 16°36'54.0E
Brno-Bystrc - ul. Kubíčkova pod OC Max Bystrc,Kubíčkova 8; Brno-Bystrc 63500,Statutární město Brno,49°13'14.6N 16°31'06.4E
Modřice - ul.Husova;před samoobsluhou,Husova 301; Modřice 66442,Město Modřice,49°07'55.6N 16°36'48.3E
Brno - Bystrc - ul. Šemberova ;vedle kontejneru na textil,Šemberova 1c; Brno-Bystrc 63500,Statutární město Brno,49°13'46.1N 16°31'29.0E
Troubsko - u hřbitova; křižovatka Nár. odboje; Nová a Ostopovická,Nár.odboje 147; Troubsko 66441,Obec Troubsko,49°10'01.4N 16°31'06.2E
Modřice - nám.Svobody ; před samoobsluhou,náměstí Svobody 75; Modřice 66442,Město Modřice,49°07'43.5N 16°37'05.2E
Brno-Bystrc - ul. Ečerova ; u Alberta Bystrc,Ečerova 2b; Brno-Bystrc 63500,Statutární město Brno,49°13'06.9N 16°30'38.2E
Brno - Kníničky SK - roh ul.Nová a K Bukovinkám Kníničky,Nová 11/92; Brno-Kníničky 63500,Statutární město Brno,49°14'14.4N 16°31'33.2E
Troubsko - křižovatka ul. Nár.odboje a Lišky,Nár.odboje 40; Troubsko 66441,Obec Troubsko,49°10'13.4N 16°30'35.4E
Brno-Bystrc - ul. Rerychova u č.p. 22 Bystrc,Rerychova 22/1189; Brno-Bystrc 63500,Statutární město Brno,49°12'57.6N 16°30'18.8E
Troubsko - Polní ul.,Polní 2; Troubsko 66441,Obec Troubsko,49°10'35.8N 16°30'18.8E
BAUHAUS - Brno-Ivanovice NL888 parkoviště,Řečkovická 3/555; Brno-Ivanovice 62100,BAUHAUS k.s.,49°15'41.4N 16°34'26.9E
Brno-Bystrc - ul.Teyschlova u č.p.14 a 16 Bystrc,Teyschlova 14/1105; Brno-Bystrc 63500,Statutární město Brno,49°13'07.3N 16°30'04.0E
Brno -Žebětín - ul. Říčanská u zastávky MHD,Říčanská 23; Brno-Žebětín 64100,Statutární město Brno,49°13'03.7N 16°29'51.6E
Brno Jehnice - ul.Blanenská ; naproti ZŠ,Blanenská 1; Brno-Jehnice 62100,Statutární město Brno,49°16'13.7N 16°35'45.0E
Brno - Žebětín - ul. Bartolomějská ; před BD č.o.31,Bartolomějská 41; Brno-Žebětín 64100,Statutární město Brno,49°12'16.4N 16°29'20.1E
Želešice - ul. 24.dubna u č.p. 43,24. dubna 43; Želešice 66443,Obec Želešice,49°07'05.7N 16°35'23.9E
Brno - Žebetín - Křivánkovo nám. 43/45,Křivánkovo náměstí 32; Brno-Žebětín 64100,Statutární město Brno,49°12'25.2N 16°29'11.9E
Želešice - ul- Vášova za cukrárnou u č.p. 111,Vášova 111; Želešice 66443,Obec Želešice,49°07'01.0N 16°34'35.1E
